Company Name,LinkedIn Profile URL,Employee Size,Website URL
Datamatics Global Services Ltd,https://www.linkedin.com/company/datamatics,5001-10000,https://www.datamatics.com/
Course5i,https://www.linkedin.com/company/course5-intelligence-private-limited,201-500,https://www.c5i.ai/
Aloyt Technology Company,https://in.linkedin.com/company/aloyt,51-200,https://www.aloyt.com/
Arrk Solutions Pvt Ltd,https://uk.linkedin.com/company/arrk-group,51-200,https://www.arrkgroup.com/
Learnfreakout Digital Solutions Pvt Ltd,https://www.linkedin.com/posts/learnflu-edutech_tothenewera-learnflu-inauguration-activity-7154712871237488640-4QaT,11-50,https://en.wikipedia.org/wiki/FriendsLearn
Shujabits Infotech Solution Private Limited,https://in.linkedin.com/company/shujabits,11-50,https://www.sbits.co/
Fafadia Tech,https://in.linkedin.com/company/fafadia-tech,11-50,https://www.fafadiatech.com/
Dgtl Innovations LLP,https://in.linkedin.com/company/dgtl-innovations-llp,11-50,https://www.dgtl.co.in/
Alca Media Private Limited,https://in.linkedin.com/company/alcamedia,11-50,https://www.myalca.com/
Spicetech India,https://in.linkedin.com/company/spicetech,11-50,https://www.spicetech.com/
Datamatics Global Services Ltd,https://www.linkedin.com/company/datamatics,5001-10000,https://www.datamatics.com/
Course5i,https://www.linkedin.com/company/course5-intelligence-private-limited,201-500,https://www.c5i.ai/
Aloyt Technology Company,https://in.linkedin.com/company/aloyt,51-200,https://www.aloyt.com/
Arrk Solutions Pvt Ltd,https://uk.linkedin.com/company/arrk-group,51-200,https://www.arrkgroup.com/
Learnfreakout Digital Solutions Pvt Ltd,https://www.linkedin.com/posts/learnflu-edutech_tothenewera-learnflu-inauguration-activity-7154712871237488640-4QaT,11-50,https://en.wikipedia.org/wiki/FriendsLearn
Shujabits Infotech Solution Private Limited,https://in.linkedin.com/company/shujabits,11-50,https://www.sbits.co/
Fafadia Tech,https://in.linkedin.com/company/fafadia-tech,11-50,https://www.fafadiatech.com/
Dgtl Innovations LLP,https://in.linkedin.com/company/dgtl-innovations-llp,11-50,https://www.dgtl.co.in/
Alca Media Private Limited,https://in.linkedin.com/company/alcamedia,11-50,https://www.myalca.com/
Spicetech India,https://in.linkedin.com/company/spicetech,11-50,https://www.spicetech.com/
Mindtree,[invalid URL removed],10000+,https://www.mindtree.com/
Wipro,[invalid URL removed],10000+,https://www.wipro.com/
TCS,https://www.linkedin.com/company/tata-consultancy-services,10000+,https://www.tcs.com/
HCLTech,https://www.linkedin.com/company/hcltech,10000+,https://www.hcltech.com/
Infosys,https://www.linkedin.com/company/infosys,10000+,https://www.infosys.com/
